geo_code,geo_level,geo_version,name,population,square_kms,population_density
5263,municipality,,Abaqulusi,243795,4184.63,58.25963108
5238,municipality,,Alfred Duma,356274,3764,94.65302869
244,district,,Alfred Nzo,867864,10800.59213,80.35337226
2124,municipality,,Amahlathi,101826,4820.22,21.12476194
525,district,,Amajuba,531327,6963.333221,76.3035436
212,district,,Amathole,880790,21717.32609,40.55701868
9334,municipality,,Ba-Phalaborwa,168937,7461.65,22.64070279
1053,municipality,,Beaufort West,51080,21916.6,2.330653477
9366,municipality,,Bela-Bela,76296,3406.2,22.39915448
1013,municipality,,Bergrivier,67474,4407.04,15.31050319
5276,municipality,,Big Five Hlabisa,116622,3466,33.6474322
1047,municipality,,Bitou,59157,991.86,59.64248987
9351,municipality,,Blouberg,172601,9248.12,18.66336077
2102,municipality,,Blue Crane Route,36063,11068.6,3.258135627
637,district,,Bojanala,1657148,18489.53363,89.62627361
1025,municipality,,Breede Valley,176578,3833.52,46.06158309
292,district,,Buffalo City,834997,2535.93,329.2665807
8325,municipality,,Bushbuckridge,546215,10249.7,53.29082802
1033,municipality,,Cape Agulhas,36000,3466.6,10.38481509
102,district,,Cape Winelands,866001,21587.34275,40.1161463
935,district,,Capricorn,1330436,21905.34653,60.73567465
1012,municipality,,Cederberg,52949,8007.47,6.612450624
105,district,,Central Karoo,74247,39073.08713,1.900208186
8301,municipality,,Chief Albert Luthuli,187629,5559.4,33.74986509
213,district,,Chris Hani,840055,36360.22717,23.10367854
191,district,,City of Cape Town,4005016,2439.78,1641.548008
798,district,,City of Johannesburg,4949347,1644.98,3008.758161
6403,municipality,,City of Matlosana,417282,3561.46,117.1659937
799,district,,City of Tshwane,3275152,6297.88,520.0403945
9345,municipality,,Collins Chabane,347974,5003,69.55306816
5254,municipality,,Dannhauser,105341,1515.91,69.49027317
3087,municipality,,Dawid Kruiper,107161,44231,2.422757794
4192,municipality,,Dihlabeng,140044,4879.96,28.69777621
3092,municipality,,Dikgatlong,48473,7314.72,6.626774504
8306,municipality,,Dipaleseng,45232,2616.56,17.28681934
6384,municipality,,Ditsobotla,181865,6464.87,28.13126946
2101,municipality,,Dr Beyers Naude,82197,28653,2.868704848
8316,municipality,,Dr JS Moroka,246016,1416.47,173.6824642
640,district,,Dr Kenneth Kaunda,742821,14759.38921,50.32870869
5436,municipality,,Dr Nkosazana Dlamini Zuma,118480,3602,32.89283731
8304,municipality,,Dr Pixley Ka Isaka Seme,85395,104094.5854,0.8203596726
639,district,,Dr Ruth Segomotsi Mompati,459357,44052.39039,10.42751587
1023,municipality,,Drakenstein,280195,1537.66,182.2216875
EC,province,,Eastern Cape,6996976,169309.8341,41.32645949
104,district,,Eden,611278,23450.63926,26.06658152
5261,municipality,,eDumbe,89614,1942.76,46.1271593
832,district,,Ehlanzeni,1754931,28136.99424,62.37094784
797,district,,Ekurhuleni,3379104,1975.26,1710.713526
9472,municipality,,Elias Motsoaledi,268256,3713.33,72.24135749
2141,municipality,,Elundini,144929,5064.54,28.61641926
5253,municipality,,Emadlangeni,36869,3539.32,10.41697275
8314,municipality,,Emakhazeni,48149,4735.58,10.16749796
8312,municipality,,Emalahleni,455228,2677.61,170.0128099
2136,municipality,,Emalahleni,124532,3447.2,36.12555117
7421,municipality,,Emfuleni,733445,965.894,759.3431577
3073,municipality,,Emthanjeni,45404,13472.3,3.370174358
5241,municipality,,Endumeni,76639,1610.23,47.59506406
2137,municipality,,Engcobo,162014,2483.87,65.226441
2139,municipality,,Enoch Mgijima,267011,13584,19.65628681
9471,municipality,,Ephraim Mogale,127168,2011.31,63.2264544
595,district,,eThekwini,3702231,2291.31,1615.770454
420,district,,Fezile Dabi,494777,20829.12015,23.75409986
309,district,,Frances Baard,387741,12930.93473,29.98553531
FS,province,,Free State,2834714,130011.4865,21.80356579
3452,municipality,,Ga-Segonyana,104408,4491.64,23.24496175
3453,municipality,,Gamagara,53656,2619.42,20.48392392
GT,province,,Gauteng,13399724,18182.4923,736.9574962
1044,municipality,,George,208237,5191.01,40.11492946
830,district,,Gert Sibande,1135409,32097.27322,35.37400178
8307,municipality,,Govan Mbeki,340091,2954.69,115.1020919
2123,municipality,,Great Kei,31692,1735.99,18.25586553
9331,municipality,,Greater Giyani,256127,4171.61,61.39763784
5433,municipality,,Greater Kokstad,76753,2679.82,28.64110276
9332,municipality,,Greater Letaba,218030,1890.89,115.3054911
6394,municipality,,Greater Taung,167827,5635.47,29.78047971
9476,municipality,,Greater Tubatse/Fetakgomo,489902,5693,86.05339891
9333,municipality,,Greater Tzaneen,416146,3242.58,128.3379284
3065,municipality,,Hantam,21540,36128.1,0.596211813
1042,municipality,,Hessequa,54237,5733.49,9.459683369
529,district,,iLembe,657612,3292.259213,199.7449039
5224,municipality,,Impendle,29526,1528.19,19.32089596
5237,municipality,,Inkosi Langalibalele,215182,3399,63.30744337
2135,municipality,,Intsika Yethu,152159,2711.14,56.12362327
2131,municipality,,Inxuba Yethemba,70493,11662.7,6.044312209
